player_id,seasons_played,total_gp,total_w,total_l,career_w_pct,total_min,total_fgm,total_fga,career_fg_pct,total_fg3m,total_fg3a,career_fg3_pct,total_ftm,total_fta,career_ft_pct,total_oreb,total_dreb,total_reb,total_ast,total_tov,total_stl,total_blk,total_blka,total_pf,total_pfd,total_pts,total_plus_minus,total_nba_fantasy_pts,total_dd2,total_td3,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,first_season,last_season
71,3,139,42,97,0.30215827,2453.1682,267.0,713.0,0.37447405,53.0,191.0,0.27748692,60.0,90.0,0.6666667,43.0,164.0,207.0,425.0,125.0,102.0,8.0,43.0,158.0,0.0,647.0,-401.0,1737.9,0.0,0.0,4.6546764,1.4892086,3.057554,0.7338129,0.05755396,0.89928055,21996,21998
72,9,516,260,256,0.503876,14609.007,2109.0,4936.0,0.42726904,308.0,860.0,0.35813954,1031.0,1328.0,0.77635545,356.0,1157.0,1513.0,2505.0,882.0,723.0,48.0,334.0,1203.0,12.0,5557.0,425.0,12561.101,28.0,0.0,10.76938,2.9321706,4.854651,1.4011627,0.093023255,1.7093023,21996,22004
73,3,164,95,69,0.5792683,3876.5767,310.0,651.0,0.47619048,0.0,2.0,0.0,205.0,301.0,0.6810631,321.0,636.0,957.0,164.0,108.0,113.0,166.0,51.0,363.0,3.0,825.0,164.0,2948.4001,13.0,0.0,5.030488,5.835366,1.0,0.6890244,1.0121951,0.6585366,21996,21998
76,5,219,114,105,0.5205479,5392.242,1093.0,2403.0,0.4548481,124.0,407.0,0.3046683,526.0,671.0,0.7839046,406.0,798.0,1204.0,246.0,342.0,145.0,75.0,207.0,450.0,14.0,2836.0,-73.0,4967.8003,36.0,0.0,12.949772,5.497717,1.1232877,0.66210043,0.34246576,1.5616438,21996,22000
77,7,256,92,164,0.359375,3228.5835,367.0,919.0,0.39934713,43.0,164.0,0.2621951,134.0,159.0,0.8427673,62.0,211.0,273.0,437.0,203.0,84.0,5.0,48.0,278.0,2.0,911.0,-247.0,1958.1001,1.0,0.0,3.5585938,1.0664062,1.7070312,0.328125,0.01953125,0.79296875,21996,22003
78,1,26,9,17,0.34615386,138.02667,3.0,19.0,0.15789473,0.0,0.0,,4.0,6.0,0.6666667,7.0,27.0,34.0,2.0,9.0,3.0,6.0,2.0,33.0,0.0,10.0,-43.0,71.8,0.0,0.0,0.3846154,1.3076923,0.07692308,0.115384616,0.23076923,0.34615386,21996,21996
80,1,17,11,6,0.64705884,221.08333,27.0,94.0,0.28723404,6.0,38.0,0.15789473,4.0,12.0,0.33333334,8.0,31.0,39.0,12.0,18.0,7.0,3.0,3.0,17.0,0.0,64.0,-33.0,140.8,0.0,0.0,3.764706,2.2941177,0.7058824,0.4117647,0.1764706,1.0588236,21996,21996
81,2,30,16,14,0.53333336,351.19833,42.0,94.0,0.44680852,6.0,17.0,0.3529412,11.0,20.0,0.55,21.0,21.0,42.0,27.0,19.0,10.0,7.0,4.0,49.0,0.0,101.0,-34.0,223.90001,0.0,0.0,3.3666666,1.4,0.9,0.33333334,0.23333333,0.6333333,21996,21997
82,4,154,102,52,0.66233766,1754.16,261.0,607.0,0.42998353,1.0,3.0,0.33333334,81.0,98.0,0.82653064,103.0,204.0,307.0,79.0,65.0,30.0,30.0,31.0,301.0,3.0,604.0,34.0,1205.9,1.0,0.0,3.922078,1.9935066,0.512987,0.19480519,0.19480519,0.42207792,21996,21999
84,9,607,310,297,0.5107084,23157.236,4009.0,9536.0,0.42040688,709.0,2075.0,0.34168676,2190.0,2665.0,0.8217636,429.0,1987.0,2416.0,2377.0,1569.0,750.0,180.0,483.0,1107.0,22.0,10917.0,-107.0,18602.701,24.0,2.0,17.985172,3.9802306,3.9159803,1.2355849,0.29654035,2.5848434,21996,22004
